Intensity Minutes
,Actual,Value
2026-01-26,235,700
2026-01-27,108,700
2026-01-28,134,700
2026-01-29,174,700
2026-01-30,145,700
2026-01-31,62,700
2026-02-01,158,700
2026-02-02,121,700
2026-02-03,152,700
2026-02-04,152,700
2026-02-05,148,700
2026-02-06,174,700
2026-02-07,113,700
2026-02-08,164,700
2026-02-09,142,700
2026-02-10,190,700
2026-02-11,135,700
2026-02-12,166,700
2026-02-13,138,700
2026-02-14,195,700
2026-02-15,101,700
2026-02-16,172,700
2026-02-17,177,700
